post_id,creator_handle,platform,caption,like_count,posted_at,clean_caption,topic_id
p_136,clean.casa,tiktok,"Cozy night routine — candles, tea, reading #skincare #beauty",1066,2025-09-11,cozy night routine candles tea reading skincare beauty,1
p_137,giveaway.guru,tiktok,Follow for follow back — comment DONE when you entered,2812,2025-10-22,follow for follow back comment done when you entered,1
p_138,giveaway.guru,tiktok,GIVEAWAY closed — tag 3 besties + follow to enter winner picked Friday,3946,2025-08-22,giveaway closed tag 3 besties follow to enter winner picked friday,1
p_139,giveaway.guru,instagram,GIVEAWAY closed — tag 3 besties + follow to enter winner picked Friday,1445,2025-10-05,giveaway closed tag 3 besties follow to enter winner picked friday,1
p_140,giveaway.guru,tiktok,Win this PR box — must repost to stories #skincare #beauty link in bio,993,2025-10-04,win this pr box must repost to stories skincare beauty link in bio,7
p_141,giveaway.guru,instagram,Flash giveaway ends tonight DM for entry link,5743,2025-08-05,flash giveaway ends tonight dm for entry link,7
p_142,giveaway.guru,tiktok,Collab giveaway with 5 brands — rules in caption #skincare #beauty,2049,2025-10-14,collab giveaway with 5 brands rules in caption skincare beauty,1
p_143,giveaway.guru,instagram,Win this PR box — must repost to stories #skincare #beauty,497,2025-09-14,win this pr box must repost to stories skincare beauty,1
p_144,giveaway.guru,tiktok,Follow for follow back — comment DONE when you entered #skincare #beauty,11136,2025-10-22,follow for follow back comment done when you entered skincare beauty,1
p_145,giveaway.guru,instagram,Collab giveaway with 5 brands — rules in caption #skincare #beauty,744,2025-08-31,collab giveaway with 5 brands rules in caption skincare beauty,1
p_146,crypto.cara,tiktok,Fortnite ranked grind — new season highlights #skincare #beauty,2437,2025-08-07,fortnite ranked grind new season highlights skincare beauty,1
p_147,crypto.cara,instagram,Why I'm bullish on this altcoin thread link in bio,30751,2025-09-25,why i'm bullish on this altcoin thread link in bio,3
p_148,crypto.cara,tiktok,NFT mint tomorrow — whitelist spots limited LFG,1296,2025-08-29,nft mint tomorrow whitelist spots limited lfg,1
p_149,crypto.cara,instagram,Fortnite ranked grind — new season highlights #skincare #beauty,2337,2025-10-23,fortnite ranked grind new season highlights skincare beauty,1
p_150,crypto.cara,instagram,Why I'm bullish on this altcoin thread,1439,2025-09-21,why i'm bullish on this altcoin thread,3
p_151,crypto.cara,tiktok,Why I'm bullish on this altcoin thread,824,2025-08-26,why i'm bullish on this altcoin thread,3
p_152,crypto.cara,tiktok,Fortnite ranked grind — new season highlights,276,2025-08-26,fortnite ranked grind new season highlights,1
p_153,crypto.cara,tiktok,Fortnite ranked grind — new season highlights,1578,2025-10-07,fortnite ranked grind new season highlights,1
p_154,crypto.cara,tiktok,Crypto portfolio update — not financial advice,2514,2025-08-19,crypto portfolio update not financial advice,1
p_155,crypto.cara,tiktok,Why I'm bullish on this altcoin thread,22281,2025-10-13,why i'm bullish on this altcoin thread,3
p_156,kbeauty.kate,instagram,Protein vs moisture balance for damaged curls,2144,2025-09-03,protein vs moisture balance for damaged curls,4
p_157,kbeauty.kate,instagram,7 skin method demo — lightweight layers for glass skin,4818,2025-09-03,7 skin method demo lightweight layers for glass skin,1
p_158,kbeauty.kate,tiktok,Peptide serums: what the evidence actually says link in bio,1479,2025-10-13,peptide serums what the evidence actually says link in bio,9
p_159,kbeauty.kate,tiktok,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal #skincare #beauty,4076,2025-08-03,double cleanse demo oil cleanser gentle gel for sunscreen removal skincare beauty,5
p_160,kbeauty.kate,tiktok,Protein vs moisture balance for damaged curls,2069,2025-09-10,protein vs moisture balance for damaged curls,4
p_161,kbeauty.kate,tiktok,Mineral vs chemical sunscreen: UV camera test results,4978,2025-08-01,mineral vs chemical sunscreen uv camera test results,8
p_162,kbeauty.kate,instagram,BHA 2% for clogged pores: application tips and what to avoid,3635,2025-09-18,bha 2 for clogged pores application tips and what to avoid,1
p_163,kbeauty.kate,instagram,Essence first toner — why Korean routines layer thin,1589,2025-07-23,essence first toner why korean routines layer thin,1
p_164,kbeauty.kate,instagram,K-beauty sunscreen sticks I travel with,5020,2025-09-16,k beauty sunscreen sticks i travel with,8
p_165,hair.health.holly,instagram,K-beauty sunscreen sticks I travel with,1087,2025-07-24,k beauty sunscreen sticks i travel with,8
p_166,hair.health.holly,instagram,Slugging debate: petroleum jelly overnight yes or no,36500,2025-08-14,slugging debate petroleum jelly overnight yes or no,1
p_167,hair.health.holly,tiktok,Protein vs moisture balance for damaged curls #skincare #beauty,4798,2025-09-16,protein vs moisture balance for damaged curls skincare beauty,4
p_168,hair.health.holly,instagram,K-beauty sunscreen sticks I travel with,1451,2025-07-21,k beauty sunscreen sticks i travel with,8
p_169,hair.health.holly,instagram,K-beauty sunscreen sticks I travel with,2670,2025-09-14,k beauty sunscreen sticks i travel with,8
p_170,hair.health.holly,tiktok,Protein vs moisture balance for damaged curls,2797,2025-07-05,protein vs moisture balance for damaged curls,4
p_171,mature.glow,tiktok,Ingredient spotlight: ceramides and why they're not optional,820,2025-07-08,ingredient spotlight ceramides and why they're not optional,1
p_172,mature.glow,instagram,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal,470,2025-10-02,double cleanse demo oil cleanser gentle gel for sunscreen removal,5
p_173,mature.glow,instagram,SPF reapplication on office days: what actually works under makeup link in bio,21911,2025-07-23,spf reapplication on office days what actually works under makeup link in bio,9
p_174,mature.glow,tiktok,Why your moisturizer matters more than your serum — barrier 101 thread #skincare #beauty,8133,2025-08-15,why your moisturizer matters more than your serum barrier 101 thread skincare beauty,3
p_175,mature.glow,tiktok,SPF reapplication on office days: what actually works under makeup #skincare #beauty,4308,2025-08-26,spf reapplication on office days what actually works under makeup skincare beauty,9
p_176,mature.glow,instagram,Peptide serums: what the evidence actually says #skincare #beauty,670,2025-08-14,peptide serums what the evidence actually says skincare beauty,9
p_177,teen.skin.tips,instagram,Morning routine for melasma-prone skin — SPF is step zero,5649,2025-08-02,morning routine for melasma prone skin spf is step zero,0
p_178,teen.skin.tips,instagram,Azelaic acid for post-acne marks: 8 week update with photos #skincare #beauty,428,2025-08-26,azelaic acid for post acne marks 8 week update with photos skincare beauty,7
p_179,teen.skin.tips,instagram,5 minute everyday makeup for oily skin,1947,2025-08-12,5 minute everyday makeup for oily skin,1
p_180,teen.skin.tips,instagram,Signs your skin barrier is compromised (and how to fix it) #skincare #beauty link in bio,901,2025-08-13,signs your skin barrier is compromised and how to fix it skincare beauty link in bio,2
p_181,teen.skin.tips,instagram,Tretinoin purge vs breakout — how to tell the difference,1882,2025-08-11,tretinoin purge vs breakout how to tell the difference,4
p_182,teen.skin.tips,instagram,Peptide serums: what the evidence actually says,12565,2025-10-24,peptide serums what the evidence actually says,9
p_183,teen.skin.tips,tiktok,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal #skincare #beauty,9513,2025-09-23,double cleanse demo oil cleanser gentle gel for sunscreen removal skincare beauty,5
p_184,teen.skin.tips,tiktok,Morning routine for melasma-prone skin — SPF is step zero,122,2025-10-26,morning routine for melasma prone skin spf is step zero,0
p_185,teen.skin.tips,instagram,Get ready with me: wedding guest soft glam #skincare #beauty,11209,2025-10-09,get ready with me wedding guest soft glam skincare beauty,1
p_186,derm.duets,instagram,Stitch: why lemon juice on face is never the answer,4951,2025-08-16,stitch why lemon juice on face is never the answer,1
p_187,derm.duets,instagram,Rating viral skincare trends — dermatologist edition,1802,2025-09-05,rating viral skincare trends dermatologist edition,1
p_188,derm.duets,instagram,Reacting to 10-step routines — what's necessary vs noise #skincare #beauty,4650,2025-07-22,reacting to 10 step routines what's necessary vs noise skincare beauty,1
p_189,derm.duets,instagram,Rating viral skincare trends — dermatologist edition link in bio,7367,2025-09-13,rating viral skincare trends dermatologist edition link in bio,7
p_190,derm.duets,tiktok,Derm reacts to sunscreen myths on TikTok,980,2025-08-20,derm reacts to sunscreen myths on tiktok,1
p_191,derm.duets,tiktok,Signs your skin barrier is compromised (and how to fix it),780,2025-07-08,signs your skin barrier is compromised and how to fix it,2
p_192,derm.duets,tiktok,Stitch: why lemon juice on face is never the answer,16076,2025-10-17,stitch why lemon juice on face is never the answer,1
p_193,derm.duets,instagram,SPF reapplication on office days: what actually works under makeup,9794,2025-08-23,spf reapplication on office days what actually works under makeup,9
p_194,derm.duets,tiktok,Stitch: why lemon juice on face is never the answer,10206,2025-10-17,stitch why lemon juice on face is never the answer,1
p_195,product.only.pete,tiktok,Ulta 21 days of beauty what I actually bought link in bio,57,2025-10-16,ulta 21 days of beauty what i actually bought link in bio,7
p_196,product.only.pete,instagram,Shein try-on haul: hits and misses #skincare #beauty,3748,2025-07-19,shein try on haul hits and misses skincare beauty,1
p_197,product.only.pete,instagram,PR package unboxing day — so many boxes,2576,2025-10-16,pr package unboxing day so many boxes,6
