creator_handle,niche_fit_score,fit_label,primary_topic,post_count,on_niche_keyword_matches,off_niche_keyword_matches,aligned_post_ratio,off_niche_post_ratio,notes,platform,follower_count,bio
derm.duets,0.644,high,Skincare routines and education,9,5,0,0.667,0.0,High fit. Creator has 9 posts. Dominant topic: 'Skincare routines and education'. Matched 5 on-niche keywords and 0 off-niche keywords. 6/9 posts directly matched the target skincare niche.,tiktok,99000,Derm reacts to TikTok trends | myth busting
chemist.chloe,0.5,medium,Skincare routines and education,8,4,0,0.5,0.0,Medium fit. Creator has 8 posts. Dominant topic: 'Skincare routines and education'. Matched 4 on-niche keywords and 0 off-niche keywords. 4/8 posts directly matched the target skincare niche.,tiktok,220000,Cosmetic chemist | debunking skincare myths
runlift.rina,0.326,medium,Skincare routines and education,7,1,0,0.571,0.0,Medium fit. Creator has 7 posts. Dominant topic: 'Skincare routines and education'. Matched 1 on-niche keywords and 0 off-niche keywords. 4/7 posts directly matched the target skincare niche.,instagram,198000,Marathon training | gym vlogs
hair.health.holly,0.294,low,"Content about sunscreen, mineral, chemical",6,1,0,0.5,0.0,"Low fit. Creator has 6 posts. Dominant topic: 'Content about sunscreen, mineral, chemical'. Matched 1 on-niche keywords and 0 off-niche keywords. 3/6 posts directly matched the target skincare niche.",instagram,73000,Curly hair care | bond repair science
clean.casa,0.219,low,Skincare routines and education,6,1,0,0.333,0.0,Low fit. Creator has 6 posts. Dominant topic: 'Skincare routines and education'. Matched 1 on-niche keywords and 0 off-niche keywords. 2/6 posts directly matched the target skincare niche.,tiktok,156000,Cleaning motivation | restock ASMR
dayinthelife.dani,0.119,low,Skincare routines and education,9,1,0,0.111,0.0,Low fit. Creator has 9 posts. Dominant topic: 'Skincare routines and education'. Matched 1 on-niche keywords and 0 off-niche keywords. 1/9 posts directly matched the target skincare niche.,tiktok,420000,NYC vlogs | coffee walks & apartment resets
fit.with.faye,0.114,low,Skincare routines and education,10,1,0,0.1,0.0,Low fit. Creator has 10 posts. Dominant topic: 'Skincare routines and education'. Matched 1 on-niche keywords and 0 off-niche keywords. 1/10 posts directly matched the target skincare niche.,tiktok,275000,Pilates + meal prep | wellness lifestyle
makeup.mila,0.097,low,Skincare routines and education,9,1,1,0.222,0.111,Low fit. Creator has 9 posts. Dominant topic: 'Skincare routines and education'. Matched 1 on-niche keywords and 1 off-niche keywords. 2/9 posts directly matched the target skincare niche.,tiktok,520000,Bridal makeup artist | transformation tutorials
giveaway.guru,0.0,low,Skincare routines and education,9,0,1,0.0,0.556,Low fit. Creator has 9 posts. Dominant topic: 'Skincare routines and education'. Matched 0 on-niche keywords and 1 off-niche keywords. 0/9 posts directly matched the target skincare niche.,instagram,95000,Follow + tag 3 friends to win !! collabs DM
glambygia,0.0,low,Skincare routines and education,9,0,3,0.0,0.444,Low fit. Creator has 9 posts. Dominant topic: 'Skincare routines and education'. Matched 0 on-niche keywords and 3 off-niche keywords. 0/9 posts directly matched the target skincare niche.,tiktok,890000,Full glam GRWM | lip combos & date night looks
lipstick.lena,0.0,low,Skincare routines and education,10,0,3,0.0,0.4,Low fit. Creator has 10 posts. Dominant topic: 'Skincare routines and education'. Matched 0 on-niche keywords and 3 off-niche keywords. 0/10 posts directly matched the target skincare niche.,tiktok,145000,Lip swatches & PR unboxings
crypto.cara,0.0,low,Skincare routines and education,10,0,3,0.0,0.6,Low fit. Creator has 10 posts. Dominant topic: 'Skincare routines and education'. Matched 0 on-niche keywords and 3 off-niche keywords. 0/10 posts directly matched the target skincare niche.,tiktok,67000,Web3 alpha | NFT drops not financial advice
product.only.pete,0.0,low,Skincare routines and education,7,0,2,0.0,0.143,Low fit. Creator has 7 posts. Dominant topic: 'Skincare routines and education'. Matched 0 on-niche keywords and 2 off-niche keywords. 0/7 posts directly matched the target skincare niche.,tiktok,44000,Unboxing new launches every day
beauty.haul.hannah,0.0,low,Skincare routines and education,10,0,1,0.0,0.3,Low fit. Creator has 10 posts. Dominant topic: 'Skincare routines and education'. Matched 0 on-niche keywords and 1 off-niche keywords. 0/10 posts directly matched the target skincare niche.,tiktok,310000,Weekly Sephora & Shein hauls | what's new
wellness.wren,0.0,low,Skincare routines and education,6,0,0,0.0,0.0,Low fit. Creator has 6 posts. Dominant topic: 'Skincare routines and education'. Matched 0 on-niche keywords and 0 off-niche keywords. 0/6 posts directly matched the target skincare niche.,instagram,87000,Morning routines | journaling & matcha
