post_id,creator_handle,platform,caption,like_count,posted_at
p_076,makeup.mila,instagram,My holy grail foundation shade match routine,3109,2025-10-02
p_077,makeup.mila,instagram,Full face using only drugstore products under $50,5377,2025-07-23
p_078,makeup.mila,tiktok,Color correctors that actually cancel dark circles #skincare #beauty,5089,2025-08-23
p_079,beauty.haul.hannah,tiktok,Empty vs repurchase — monthly makeup declutter,1665,2025-10-08
p_080,beauty.haul.hannah,tiktok,PR package unboxing day — so many boxes #skincare #beauty,3199,2025-10-20
p_081,beauty.haul.hannah,instagram,Amazon beauty finds under $15 #skincare #beauty,4867,2025-10-27
p_082,beauty.haul.hannah,instagram,Smokey eye tutorial for hooded lids #skincare #beauty,1271,2025-09-19
p_083,beauty.haul.hannah,instagram,Huge Sephora haul — new spring launches unboxing #skincare #beauty,9013,2025-10-23
p_084,beauty.haul.hannah,tiktok,Huge Sephora haul — new spring launches unboxing #skincare #beauty,957,2025-08-22
p_085,beauty.haul.hannah,instagram,Ulta 21 days of beauty what I actually bought,1081,2025-09-08
p_086,beauty.haul.hannah,tiktok,Huge Sephora haul — new spring launches unboxing,4236,2025-10-22
p_087,beauty.haul.hannah,instagram,PR package unboxing day — so many boxes,2319,2025-09-25
p_088,beauty.haul.hannah,instagram,Amazon beauty finds under $15,942,2025-09-29
p_089,lipstick.lena,tiktok,Lip combo of the week: liner + gloss pairing,615,2025-08-21
p_090,lipstick.lena,instagram,Full face using only drugstore products under $50 #skincare #beauty,18478,2025-08-30
p_091,lipstick.lena,tiktok,Huge Sephora haul — new spring launches unboxing,39045,2025-08-18
p_092,lipstick.lena,tiktok,Color correctors that actually cancel dark circles,2504,2025-07-07
p_093,lipstick.lena,instagram,What's in my cart this week — link in bio,2685,2025-09-21
p_094,lipstick.lena,tiktok,Bridal trial makeup timelapse — airbrush base,5209,2025-07-27
p_095,lipstick.lena,instagram,Skincare shelfie restock — new serums only #skincare #beauty,15131,2025-08-28
p_096,lipstick.lena,instagram,GRWM for date night — full glam contour and winged liner,443,2025-08-14
p_097,lipstick.lena,tiktok,Full face using only drugstore products under $50,14284,2025-08-04
p_098,lipstick.lena,tiktok,Huge Sephora haul — new spring launches unboxing,5577,2025-10-31
p_099,fit.with.faye,instagram,Marathon week 8 long run vlog,696,2025-09-09
p_100,fit.with.faye,instagram,Moving vlog part 2 — kitchen organization #skincare #beauty,607,2025-07-29
p_101,fit.with.faye,instagram,"Cozy night routine — candles, tea, reading #skincare #beauty",630,2025-09-28
p_102,fit.with.faye,instagram,"Sunday reset: laundry, groceries, planning the week",11598,2025-09-01
p_103,fit.with.faye,tiktok,Matcha ritual + journaling prompts for anxious mornings,559,2025-09-10
p_104,fit.with.faye,instagram,Leg day at home — resistance bands only,4311,2025-10-28
p_105,fit.with.faye,instagram,Meal prep Sunday: 4 lunches in 45 minutes,825,2025-09-12
p_106,fit.with.faye,instagram,Meal prep Sunday: 4 lunches in 45 minutes,14152,2025-08-24
p_107,fit.with.faye,tiktok,What I eat in a day — high protein vegetarian #skincare #beauty,2563,2025-08-12
p_108,fit.with.faye,instagram,What I eat in a day — high protein vegetarian,1509,2025-10-14
p_109,runlift.rina,instagram,"5am morning routine: gym, skincare, podcast #skincare #beauty link in bio",4124,2025-07-08
p_110,runlift.rina,tiktok,Marathon week 8 long run vlog,89103,2025-09-03
p_111,runlift.rina,tiktok,"5am morning routine: gym, skincare, podcast #skincare #beauty",4899,2025-09-30
p_112,runlift.rina,instagram,Stretching routine after desk job — hips and back #skincare #beauty,805,2025-09-17
p_113,runlift.rina,instagram,Stretching routine after desk job — hips and back #skincare #beauty,1022,2025-08-06
p_114,runlift.rina,tiktok,20 min pilates core for beginners — follow along,6231,2025-07-22
p_115,runlift.rina,tiktok,Marathon week 8 long run vlog,45852,2025-08-11
p_116,wellness.wren,tiktok,Leg day at home — resistance bands only #skincare #beauty,900,2025-07-29
p_117,wellness.wren,tiktok,Marathon week 8 long run vlog #skincare #beauty,6211,2025-07-18
p_118,wellness.wren,tiktok,Leg day at home — resistance bands only,9681,2025-10-23
p_119,wellness.wren,instagram,Marathon week 8 long run vlog,796,2025-10-31
p_120,wellness.wren,tiktok,What I eat in a day — high protein vegetarian,7944,2025-07-04
p_121,wellness.wren,tiktok,Marathon week 8 long run vlog,8936,2025-10-24
p_122,dayinthelife.dani,instagram,Stretching routine after desk job — hips and back link in bio,11166,2025-08-30
p_123,dayinthelife.dani,instagram,Apartment deep clean with me — satisfying reset link in bio,7184,2025-08-18
p_124,dayinthelife.dani,instagram,Apartment deep clean with me — satisfying reset,148217,2025-09-27
p_125,dayinthelife.dani,tiktok,"Sunday reset: laundry, groceries, planning the week #skincare #beauty",6898,2025-08-11
p_126,dayinthelife.dani,instagram,Moving vlog part 2 — kitchen organization #skincare #beauty,1025,2025-08-12
p_127,dayinthelife.dani,tiktok,"Day in my life in NYC — coffee, meetings, sunset walk #skincare #beauty",6268,2025-07-18
p_128,dayinthelife.dani,tiktok,Apartment deep clean with me — satisfying reset,1970,2025-07-09
p_129,dayinthelife.dani,tiktok,"Sunday reset: laundry, groceries, planning the week link in bio",4495,2025-10-18
p_130,dayinthelife.dani,tiktok,"Day in my life in NYC — coffee, meetings, sunset walk #skincare #beauty",3589,2025-09-29
p_131,clean.casa,instagram,Moving vlog part 2 — kitchen organization,2522,2025-08-18
p_132,clean.casa,tiktok,Come thrift with me — vintage finds downtown #skincare #beauty,270,2025-10-25
p_133,clean.casa,instagram,"Cozy night routine — candles, tea, reading",6540,2025-07-09
p_134,clean.casa,tiktok,Come thrift with me — vintage finds downtown #skincare #beauty link in bio,1621,2025-09-25
p_135,clean.casa,instagram,Come thrift with me — vintage finds downtown,23873,2025-07-26
p_136,clean.casa,tiktok,"Cozy night routine — candles, tea, reading #skincare #beauty",1066,2025-09-11
p_137,giveaway.guru,tiktok,Follow for follow back — comment DONE when you entered,2812,2025-10-22
p_138,giveaway.guru,tiktok,GIVEAWAY closed — tag 3 besties + follow to enter winner picked Friday,3946,2025-08-22
p_139,giveaway.guru,instagram,GIVEAWAY closed — tag 3 besties + follow to enter winner picked Friday,1445,2025-10-05
p_140,giveaway.guru,tiktok,Win this PR box — must repost to stories #skincare #beauty link in bio,993,2025-10-04
p_141,giveaway.guru,instagram,Flash giveaway ends tonight DM for entry link,5743,2025-08-05
p_142,giveaway.guru,tiktok,Collab giveaway with 5 brands — rules in caption #skincare #beauty,2049,2025-10-14
p_143,giveaway.guru,instagram,Win this PR box — must repost to stories #skincare #beauty,497,2025-09-14
p_144,giveaway.guru,tiktok,Follow for follow back — comment DONE when you entered #skincare #beauty,11136,2025-10-22
p_145,giveaway.guru,instagram,Collab giveaway with 5 brands — rules in caption #skincare #beauty,744,2025-08-31
p_146,crypto.cara,tiktok,Fortnite ranked grind — new season highlights #skincare #beauty,2437,2025-08-07
p_147,crypto.cara,instagram,Why I'm bullish on this altcoin thread link in bio,30751,2025-09-25
p_148,crypto.cara,tiktok,NFT mint tomorrow — whitelist spots limited LFG,1296,2025-08-29
p_149,crypto.cara,instagram,Fortnite ranked grind — new season highlights #skincare #beauty,2337,2025-10-23
p_150,crypto.cara,instagram,Why I'm bullish on this altcoin thread,1439,2025-09-21
p_151,crypto.cara,tiktok,Why I'm bullish on this altcoin thread,824,2025-08-26
p_152,crypto.cara,tiktok,Fortnite ranked grind — new season highlights,276,2025-08-26
p_153,crypto.cara,tiktok,Fortnite ranked grind — new season highlights,1578,2025-10-07
p_154,crypto.cara,tiktok,Crypto portfolio update — not financial advice,2514,2025-08-19
p_155,crypto.cara,tiktok,Why I'm bullish on this altcoin thread,22281,2025-10-13
p_156,kbeauty.kate,instagram,Protein vs moisture balance for damaged curls,2144,2025-09-03
p_157,kbeauty.kate,instagram,7 skin method demo — lightweight layers for glass skin,4818,2025-09-03
p_158,kbeauty.kate,tiktok,Peptide serums: what the evidence actually says link in bio,1479,2025-10-13
p_159,kbeauty.kate,tiktok,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal #skincare #beauty,4076,2025-08-03
p_160,kbeauty.kate,tiktok,Protein vs moisture balance for damaged curls,2069,2025-09-10
p_161,kbeauty.kate,tiktok,Mineral vs chemical sunscreen: UV camera test results,4978,2025-08-01
p_162,kbeauty.kate,instagram,BHA 2% for clogged pores: application tips and what to avoid,3635,2025-09-18
p_163,kbeauty.kate,instagram,Essence first toner — why Korean routines layer thin,1589,2025-07-23
p_164,kbeauty.kate,instagram,K-beauty sunscreen sticks I travel with,5020,2025-09-16
p_165,hair.health.holly,instagram,K-beauty sunscreen sticks I travel with,1087,2025-07-24
p_166,hair.health.holly,instagram,Slugging debate: petroleum jelly overnight yes or no,36500,2025-08-14
p_167,hair.health.holly,tiktok,Protein vs moisture balance for damaged curls #skincare #beauty,4798,2025-09-16
p_168,hair.health.holly,instagram,K-beauty sunscreen sticks I travel with,1451,2025-07-21
p_169,hair.health.holly,instagram,K-beauty sunscreen sticks I travel with,2670,2025-09-14
p_170,hair.health.holly,tiktok,Protein vs moisture balance for damaged curls,2797,2025-07-05
p_171,mature.glow,tiktok,Ingredient spotlight: ceramides and why they're not optional,820,2025-07-08
p_172,mature.glow,instagram,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal,470,2025-10-02
p_173,mature.glow,instagram,SPF reapplication on office days: what actually works under makeup link in bio,21911,2025-07-23
p_174,mature.glow,tiktok,Why your moisturizer matters more than your serum — barrier 101 thread #skincare #beauty,8133,2025-08-15
p_175,mature.glow,tiktok,SPF reapplication on office days: what actually works under makeup #skincare #beauty,4308,2025-08-26
p_176,mature.glow,instagram,Peptide serums: what the evidence actually says #skincare #beauty,670,2025-08-14
p_177,teen.skin.tips,instagram,Morning routine for melasma-prone skin — SPF is step zero,5649,2025-08-02
p_178,teen.skin.tips,instagram,Azelaic acid for post-acne marks: 8 week update with photos #skincare #beauty,428,2025-08-26
p_179,teen.skin.tips,instagram,5 minute everyday makeup for oily skin,1947,2025-08-12
p_180,teen.skin.tips,instagram,Signs your skin barrier is compromised (and how to fix it) #skincare #beauty link in bio,901,2025-08-13
p_181,teen.skin.tips,instagram,Tretinoin purge vs breakout — how to tell the difference,1882,2025-08-11
p_182,teen.skin.tips,instagram,Peptide serums: what the evidence actually says,12565,2025-10-24
p_183,teen.skin.tips,tiktok,Double cleanse demo: oil cleanser + gentle gel for sunscreen removal #skincare #beauty,9513,2025-09-23
p_184,teen.skin.tips,tiktok,Morning routine for melasma-prone skin — SPF is step zero,122,2025-10-26
p_185,teen.skin.tips,instagram,Get ready with me: wedding guest soft glam #skincare #beauty,11209,2025-10-09
p_186,derm.duets,instagram,Stitch: why lemon juice on face is never the answer,4951,2025-08-16
p_187,derm.duets,instagram,Rating viral skincare trends — dermatologist edition,1802,2025-09-05
p_188,derm.duets,instagram,Reacting to 10-step routines — what's necessary vs noise #skincare #beauty,4650,2025-07-22
p_189,derm.duets,instagram,Rating viral skincare trends — dermatologist edition link in bio,7367,2025-09-13
p_190,derm.duets,tiktok,Derm reacts to sunscreen myths on TikTok,980,2025-08-20
p_191,derm.duets,tiktok,Signs your skin barrier is compromised (and how to fix it),780,2025-07-08
p_192,derm.duets,tiktok,Stitch: why lemon juice on face is never the answer,16076,2025-10-17
p_193,derm.duets,instagram,SPF reapplication on office days: what actually works under makeup,9794,2025-08-23
p_194,derm.duets,tiktok,Stitch: why lemon juice on face is never the answer,10206,2025-10-17
p_195,product.only.pete,tiktok,Ulta 21 days of beauty what I actually bought link in bio,57,2025-10-16
p_196,product.only.pete,instagram,Shein try-on haul: hits and misses #skincare #beauty,3748,2025-07-19
p_197,product.only.pete,instagram,PR package unboxing day — so many boxes,2576,2025-10-16
p_198,product.only.pete,instagram,PR package unboxing day — so many boxes link in bio,12279,2025-09-24
p_199,product.only.pete,tiktok,Empty vs repurchase — monthly makeup declutter,7710,2025-08-12
p_200,product.only.pete,instagram,Amazon beauty finds under $15 #skincare #beauty,3000,2025-07-04
p_201,product.only.pete,tiktok,PR package unboxing day — so many boxes,15001,2025-07-19
